graph,n_vertices,m_undirected,operation,layout,predicted_ns,measured_kernel_ns,measured_iqr_ns,kernel_cv,predicted_best,measured_best,verdict
road-luxembourg-osm,114600,119666,Insert,CSR,3297038.8,6485932,2244099,0.256,PCSR,PCSR,MISMATCH
road-luxembourg-osm,114600,119666,Insert,PCSR,1039.3,721708,306402,0.315,PCSR,PCSR,
road-luxembourg-osm,114600,119666,Insert,BCSR,3811398.7,4180752,1225538,0.217,PCSR,PCSR,
road-luxembourg-osm,114600,119666,Insert,SET,4460291.0,4522929,2312984,0.379,PCSR,PCSR,
road-luxembourg-osm,114600,119666,Traverse,CSR,2249093.8,3482740,884670,0.188,CSR,PCSR,MATCH
road-luxembourg-osm,114600,119666,Traverse,PCSR,2249093.8,3580309,1075471,0.223,CSR,PCSR,
road-luxembourg-osm,114600,119666,Traverse,BCSR,4376069.8,8219756,810431,0.073,CSR,PCSR,
road-luxembourg-osm,114600,119666,Traverse,SET,1988589624.0,44259428948,577361138,0.010,CSR,PCSR,
road-roadNet-PA,1087563,1541514,Insert,CSR,103993704.2,117220387,1903639,0.012,PCSR,PCSR,MATCH
road-roadNet-PA,1087563,1541514,Insert,PCSR,1039.3,7340800,1581252,0.160,PCSR,PCSR,
road-roadNet-PA,1087563,1541514,Insert,BCSR,140726607.8,131551505,26242548,0.148,PCSR,PCSR,
road-roadNet-PA,1087563,1541514,Insert,SET,92504361.5,88898425,5107655,0.043,PCSR,PCSR,
road-roadNet-PA,1087563,1541514,Traverse,CSR,21344076.4,34211143,3493906,0.076,CSR,CSR,
road-roadNet-PA,1087563,1541514,Traverse,PCSR,21344076.4,36607245,297964,0.006,CSR,CSR,
road-roadNet-PA,1087563,1541514,Traverse,BCSR,49098684.2,94908184,3823558,0.030,CSR,CSR,
road-roadNet-PA,1087563,1541514,Traverse,SET,243092516785.2,,,,CSR,CSR,
road-usroads-48,126147,161950,Insert,CSR,4443005.9,7756013,2811574,0.269,PCSR,PCSR,MISMATCH
road-usroads-48,126147,161950,Insert,PCSR,1039.3,914184,278481,0.226,PCSR,,
road-usroads-48,126147,161950,Insert,BCSR,5871411.4,6174797,2302225,0.276,PCSR,,
road-usroads-48,126147,161950,Insert,SET,7264545.6,9437568,555739,0.044,PCSR,,
road-usroads-48,126147,161950,Traverse,CSR,2475710.6,4173543,930470,0.165,CSR,CSR,MATCH
road-usroads-48,126147,161950,Traverse,PCSR,2475710.6,4622284,574932,0.092,CSR,CSR,
road-usroads-48,126147,161950,Traverse,BCSR,5402321.0,11993523,578446,0.036,CSR,CSR,
road-usroads-48,126147,161950,Traverse,SET,2962315046.9,67747892582,413907031,0.005,CSR,CSR,
soc-LiveMocha,104104,2193083,Insert,CSR,79283617.6,67367448,3248635,0.036,PCSR,PCSR,MISMATCH
soc-LiveMocha,104104,2193083,Insert,PCSR,1329.3,11813972,650545,0.041,PCSR,PCSR,
soc-LiveMocha,104104,2193083,Insert,BCSR,122066636.6,125265221,11950852,0.071,PCSR,PCSR,
soc-LiveMocha,104104,2193083,Insert,SET,131598501.5,157149715,12260182,0.058,PCSR,PCSR,
soc-LiveMocha,104104,2193083,Traverse,CSR,2284624.7,13053837,926332,0.053,CSR,CSR,
soc-LiveMocha,104104,2193083,Traverse,PCSR,2646906.7,15970286,2193198,0.102,CSR,CSR,
soc-LiveMocha,104104,2193083,Traverse,BCSR,42739439.1,80509633,3508025,0.032,CSR,CSR,
soc-LiveMocha,104104,2193083,Traverse,SET,33104838807.0,,,,CSR,CSR,
bio-grid-yeast,6008,156945,Insert,CSR,2873975.2,3391186,1325120,0.290,PCSR,PCSR,MATCH
bio-grid-yeast,6008,156945,Insert,PCSR,1387.3,917104,372082,0.301,PCSR,PCSR,
bio-grid-yeast,6008,156945,Insert,BCSR,3561329.8,4572454,3344146,0.542,PCSR,PCSR,
bio-grid-yeast,6008,156945,Insert,SET,7040455.6,6575926,831040,0.094,PCSR,PCSR,
bio-grid-yeast,6008,156945,Traverse,CSR,138818.4,1009596,396096,0.291,CSR,CSR,MATCH
bio-grid-yeast,6008,156945,Traverse,PCSR,159726.3,1155131,346340,0.222,CSR,CSR,
bio-grid-yeast,6008,156945,Traverse,BCSR,3031069.6,5148915,426467,0.061,CSR,CSR,
bio-grid-yeast,6008,156945,Traverse,SET,136730304.3,2973160825,62027530,0.015,CSR,CSR,
copresence-InVS15,1871,1283194,Insert,CSR,39824383.7,20884249,273637,0.010,PCSR,PCSR,MISMATCH
copresence-InVS15,1871,1283194,Insert,PCSR,10957.3,5569735,545663,0.073,PCSR,PCSR,
copresence-InVS15,1871,1283194,Insert,BCSR,60194903.6,47086290,2344949,0.037,PCSR,PCSR,
copresence-InVS15,1871,1283194,Insert,SET,77005161.5,26952558,821349,0.023,PCSR,PCSR,
copresence-InVS15,1871,1283194,Traverse,CSR,221200.1,6521469,2131318,0.242,CSR,PCSR,MISMATCH
copresence-InVS15,1871,1283194,Traverse,PCSR,407851.1,6474758,1429737,0.164,CSR,PCSR,
copresence-InVS15,1871,1283194,Traverse,BCSR,23852079.8,35892411,2175031,0.045,CSR,PCSR,
copresence-InVS15,1871,1283194,Traverse,SET,348125744.0,26666577360,314843395,0.009,CSR,PCSR,
fb-pages-company,14113,52126,Insert,CSR,1218981.2,1628070,749190,0.341,PCSR,PCSR,MISMATCH
fb-pages-company,14113,52126,Insert,PCSR,1039.3,280438,50039,0.132,PCSR,PCSR,
fb-pages-company,14113,52126,Insert,BCSR,1195656.6,2059523,966728,0.348,PCSR,PCSR,
fb-pages-company,14113,52126,Insert,SET,1785805.5,1917087,165133,0.064,PCSR,PCSR,
fb-pages-company,14113,52126,Traverse,CSR,276976.1,781349,118803,0.113,CSR,CSR,MATCH
fb-pages-company,14113,52126,Traverse,PCSR,293347.2,894172,148341,0.123,CSR,CSR,
fb-pages-company,14113,52126,Traverse,BCSR,1242869.8,2509415,157361,0.046,CSR,CSR,
fb-pages-company,14113,52126,Traverse,SET,106673957.3,2119070730,23844808,0.008,CSR,CSR,
ia-dbpedia,365493,780132,Insert,CSR,17636999.7,25951909,1348497,0.039,PCSR,PCSR,MATCH
ia-dbpedia,365493,780132,Insert,PCSR,1039.3,3743556,316866,0.063,PCSR,PCSR,
ia-dbpedia,365493,780132,Insert,BCSR,16028743.9,20723958,2119704,0.076,PCSR,PCSR,
ia-dbpedia,365493,780132,Insert,SET,46821441.5,37895101,986625,0.019,PCSR,PCSR,
ia-dbpedia,365493,780132,Traverse,CSR,7173019.4,12889224,1269003,0.073,CSR,CSR,
ia-dbpedia,365493,780132,Traverse,PCSR,7173019.4,13217093,344796,0.019,CSR,CSR,
ia-dbpedia,365493,780132,Traverse,BCSR,21588063.3,37091787,2074750,0.041,CSR,CSR,
ia-dbpedia,365493,780132,Traverse,SET,41344465822.0,,,,CSR,CSR,
inf-roadNet-PA,1087563,1541514,Insert,CSR,103993704.2,96676253,3739904,0.029,PCSR,PCSR,MATCH
inf-roadNet-PA,1087563,1541514,Insert,PCSR,1039.3,7224315,436904,0.045,PCSR,PCSR,
inf-roadNet-PA,1087563,1541514,Insert,BCSR,140726607.8,101187415,4362792,0.032,PCSR,PCSR,
inf-roadNet-PA,1087563,1541514,Insert,SET,92504361.5,80505180,6049826,0.056,PCSR,PCSR,
inf-roadNet-PA,1087563,1541514,Traverse,CSR,21344076.4,31146808,1263223,0.030,CSR,CSR,
inf-roadNet-PA,1087563,1541514,Traverse,PCSR,21344076.4,33488325,2338211,0.052,CSR,CSR,
inf-roadNet-PA,1087563,1541514,Traverse,BCSR,49098684.2,86282835,2941416,0.025,CSR,CSR,
inf-roadNet-PA,1087563,1541514,Traverse,SET,243092516785.2,,,,CSR,CSR,
